the-wagoner,60%(M) -- 60%(I)
paris-belongs-to-us,64%(M) -- 56%(I)
pirates,41%(M) -- 47%(I)
the-adventures-of-milo-and-otis,47%(M) -- 37%(I)
chopping-mall,37%(M) -- 33%(I)
the-hitcher,54%(M) -- 43%(I)
three-amigos,41%(M) -- 34%(I)
clash-of-the-titans,36%(M) -- 38%(I)
the-cannonball-run,33%(M) -- 26%(I)
the-great-muppet-caper,42%(M) -- 36%(I)
son-of-the-white-mare,55%(M) -- 48%(I)
polyester,61%(M) -- 73%(I)
little-nemo-adventures-in-slumberland,46%(M) -- 46%(I)
the-calming,63%(M) -- 65%(I)
truth-and-justice,53%(M) -- 59%(I)
rio-bravo,74%(M) -- 74%(I)
shadow-in-the-cloud,47%(M) -- 54%(I)
i-am-greta,59%(M) -- 46%(I)
film:649955,52%(M) -- 67%(I)
concrete-cowboy,38%(M) -- 46%(I)
saint-narcisse,58%(M) -- 63%(I)
beans-2020,42%(M) -- 45%(I)
holler-2020,40%(M) -- 46%(I)
when-we-were-kings,51%(M) -- 54%(I)
the-color-of-pomegranates,66%(M) -- 69%(I)
the-magnificent-ambersons,58%(M) -- 64%(I)
out-of-africa,57%(M) -- 45%(I)
dracula-1958,58%(M) -- 54%(I)
the-dirty-dozen,57%(M) -- 54%(I)
magnum-force,46%(M) -- 36%(I)
48-hrs,55%(M) -- 36%(I)
the-stunt-man,59%(M) -- 58%(I)
piranha,53%(M) -- 45%(I)
blue-collar,61%(M) -- 51%(I)
freeway,47%(M) -- 48%(I)
zombie-flesh-eaters,47%(M) -- 54%(I)
uncle-buck,58%(M) -- 53%(I)
pecker,59%(M) -- 64%(I)
the-acid-house,42%(M) -- 39%(I)
syndromes-and-a-century,67%(M) -- 79%(I)
the-queen,68%(M) -- 69%(I)
the-omega-man,48%(M) -- 56%(I)
farewell-amor,63%(M) -- 65%(I)
port-authority,46%(M) -- 42%(I)
isadoras-children,65%(M) -- 69%(I)
lingua-franca,62%(M) -- 62%(I)
land-of-ashes,44%(M) -- 62%(I)
ixcanul,59%(M) -- 64%(I)
woodshock-2017,42%(M) -- 39%(I)
manifesto-2015,56%(M) -- 58%(I)
whitney,59%(M) -- 54%(I)
shakedown-2018,59%(M) -- 58%(I)
ramen-shop,38%(M) -- 36%(I)
let-the-corpses-tan,62%(M) -- 65%(I)
grace-jones-bloodlight-and-bami,50%(M) -- 56%(I)
atanarjuat-the-fast-runner,61%(M) -- 59%(I)
the-body-remembers-when-the-world-broke-open,68%(M) -- 70%(I)
marc-maron-end-times-fun,38%(M) -- 51%(I)
8-46-2020,55%(M) -- 57%(I)
the-cloud-in-her-room,63%(M) -- 70%(I)
ghost-tropic,65%(M) -- 65%(I)
the-black-power-mixtape-1967-1975,63%(M) -- 67%(I)
bull-durham,61%(M) -- 57%(I)
pastoral-to-die-in-the-country,66%(M) -- 70%(I)
emotion,56%(M) -- 61%(I)
atman,59%(M) -- 63%(I)
demons-1971,63%(M) -- 64%(I)
the-metamorphosis-of-birds,66%(M) -- 80%(I)
divine-love,57%(M) -- 54%(I)
pari-2020,62%(M) -- 64%(I)
nasir,61%(M) -- 67%(I)
window-boy-would-also-like-to-have-a-submarine,61%(M) -- 61%(I)
a-common-crime,38%(M) -- 47%(I)
vitalina-varela,52%(M) -- 68%(I)
yalda,44%(M) -- 45%(I)
alice-junior,62%(M) -- 57%(I)
herbie-rides-again,48%(M) -- 52%(I)
foxy-brown,44%(M) -- 50%(I)
death-wish,56%(M) -- 61%(I)
female-trouble,64%(M) -- 77%(I)
the-shepherdess-and-the-seven-songs,61%(M) -- 62%(I)
little-girl-2020,67%(M) -- 69%(I)
flashdance,42%(M) -- 54%(I)
max-richters-sleep,57%(M) -- 60%(I)
anne-at-13000-ft,67%(M) -- 73%(I)
the-death-of-mr-lazarescu,67%(M) -- 74%(I)
it-felt-like-love,62%(M) -- 64%(I)
opera,46%(M) -- 48%(I)
timbuktu-2014,56%(M) -- 63%(I)
coming-home-2014,51%(M) -- 50%(I)
fair-game-1995,42%(M) -- 27%(I)
sabrina-1995,43%(M) -- 39%(I)
now-and-then,57%(M) -- 49%(I)
the-brady-bunch-movie,46%(M) -- 42%(I)
apollo-13,47%(M) -- 33%(I)
tommy-boy,33%(M) -- 36%(I)
incoherence,39%(M) -- 47%(I)
double-king,57%(M) -- 69%(I)
song-of-avignon,59%(M) -- 60%(I)
lord-of-the-flies-1990,32%(M) -- 25%(I)
3-men-and-a-little-lady,54%(M) -- 41%(I)
another-48-hrs,44%(M) -- 41%(I)
madonna-truth-or-dare,56%(M) -- 48%(I)
curly-sue,58%(M) -- 49%(I)
sleeping-with-the-enemy,49%(M) -- 44%(I)
the-commitments,55%(M) -- 55%(I)
what-about-bob,35%(M) -- 28%(I)
the-rocketeer,45%(M) -- 36%(I)
3-ninjas,38%(M) -- 37%(I)
lorenzos-oil,56%(M) -- 47%(I)
newsies,56%(M) -- 48%(I)
police-story-3-super-cop,56%(M) -- 48%(I)
above-the-rim,46%(M) -- 53%(I)
i-cant-sleep,64%(M) -- 73%(I)
it-could-happen-to-you,35%(M) -- 27%(I)
angels-in-the-outfield-1994,38%(M) -- 36%(I)
wolf,35%(M) -- 27%(I)
the-legend-of-drunken-master,53%(M) -- 46%(I)
poetic-justice,42%(M) -- 47%(I)
judgment-night,34%(M) -- 35%(I)
grumpy-old-men,37%(M) -- 33%(I)
the-crush,44%(M) -- 50%(I)
kalifornia,34%(M) -- 35%(I)
jason-goes-to-hell-the-final-friday,37%(M) -- 47%(I)
the-firm-1993,38%(M) -- 42%(I)
the-twentieth-century,57%(M) -- 63%(I)
greener-grass-2019,50%(M) -- 52%(I)
cannibal-holocaust,43%(M) -- 59%(I)
beneath-the-planet-of-the-apes,45%(M) -- 56%(I)
psycho-ii,46%(M) -- 50%(I)
black-christmas,58%(M) -- 68%(I)
ghost-town-anthology,49%(M) -- 58%(I)
bullet-ballet,61%(M) -- 65%(I)
coming-home,58%(M) -- 56%(I)
the-last-detail,63%(M) -- 61%(I)
trixie-mattel-moving-parts,49%(M) -- 48%(I)
i-like-girls,65%(M) -- 65%(I)
blue-boy-2019,60%(M) -- 67%(I)
ruben-brandt-collector,46%(M) -- 52%(I)
green-2018,42%(M) -- 51%(I)
lemonade-2016,57%(M) -- 69%(I)
thou-wast-mild-and-lovely,38%(M) -- 55%(I)
butter-on-the-latch,50%(M) -- 59%(I)
fireworks-2017,40%(M) -- 32%(I)
rollerball,44%(M) -- 50%(I)
the-orphan-2018,57%(M) -- 67%(I)
november-2017,64%(M) -- 63%(I)
brotherhood-2018,47%(M) -- 56%(I)
anthropocene-the-human-epoch,33%(M) -- 28%(I)
the-glorious-acceptance-of-nicolas-chauvin,48%(M) -- 57%(I)
lu-over-the-wall,67%(M) -- 61%(I)
human-nature,51%(M) -- 54%(I)
annie,46%(M) -- 48%(I)
blue-1993,72%(M) -- 77%(I)
a-page-of-madness,65%(M) -- 66%(I)
the-incredible-jessica-james,48%(M) -- 59%(I)
mr-roosevelt,58%(M) -- 63%(I)
the-war-game,65%(M) -- 65%(I)
fun-mom-dinner,44%(M) -- 39%(I)
the-puffy-chair,45%(M) -- 54%(I)
miles-ahead,44%(M) -- 50%(I)
kung-fu-master,60%(M) -- 67%(I)
miral,41%(M) -- 47%(I)
sword-of-the-stranger,57%(M) -- 54%(I)
cross-road-2014,42%(M) -- 34%(I)
dave-chappelle-the-bird-revelation,54%(M) -- 54%(I)
dave-chappelle-equanimity,53%(M) -- 53%(I)
portrait-of-jason,65%(M) -- 62%(I)
je-taime-je-taime,65%(M) -- 68%(I)
genius-party,55%(M) -- 46%(I)
the-hills-have-eyes,44%(M) -- 52%(I)
soylent-green,35%(M) -- 33%(I)
the-lion-in-winter,58%(M) -- 60%(I)
pieces,38%(M) -- 47%(I)
giovannis-island,48%(M) -- 51%(I)
origin-spirits-of-the-past,38%(M) -- 34%(I)
necktie-2013,65%(M) -- 60%(I)
les-vampires-episode-one-the-severed-head,55%(M) -- 54%(I)
les-vampires-episode-two-the-ring-that-kills,55%(M) -- 54%(I)
the-mermaid,55%(M) -- 45%(I)
the-merry-frolics-of-satan,55%(M) -- 47%(I)
the-kingdom-of-the-fairies,39%(M) -- 38%(I)
the-astronomers-dream,55%(M) -- 49%(I)
the-four-troublesome-heads,45%(M) -- 47%(I)
berlin-horse,59%(M) -- 58%(I)
daguerreotypes,61%(M) -- 67%(I)
wr-mysteries-of-the-organism,63%(M) -- 72%(I)
woodstock,60%(M) -- 63%(I)
the-wolf-man-1941,52%(M) -- 63%(I)
wings,52%(M) -- 58%(I)
war-and-peace,49%(M) -- 53%(I)
viva-maria,49%(M) -- 52%(I)
the-story-of-the-last-chrysanthemum,50%(M) -- 51%(I)
the-story-of-qiu-ju,60%(M) -- 56%(I)
song-of-the-south,38%(M) -- 48%(I)
shanghai-express,61%(M) -- 69%(I)
every-man-for-himself,55%(M) -- 59%(I)
saludos-amigos,57%(M) -- 45%(I)
roxanne,54%(M) -- 41%(I)
reds,59%(M) -- 49%(I)
red-beard,62%(M) -- 54%(I)
prizzis-honor,39%(M) -- 27%(I)
the-poseidon-adventure,46%(M) -- 43%(I)
play-misty-for-me,48%(M) -- 51%(I)
the-phantom-of-the-opera,44%(M) -- 37%(I)
one-am,56%(M) -- 54%(I)
olympia-part-one-festival-of-the-nations,60%(M) -- 66%(I)
night-moves,64%(M) -- 63%(I)
neighbours,48%(M) -- 51%(I)
the-mummy-1959,48%(M) -- 42%(I)
missing-in-action,36%(M) -- 26%(I)
the-magnificent-seven,56%(M) -- 44%(I)
the-last-house-on-the-left,44%(M) -- 37%(I)
jean-de-florette,63%(M) -- 65%(I)
jason-and-the-argonauts,57%(M) -- 56%(I)
ivan-the-terrible-part-i,71%(M) -- 72%(I)
identification-of-a-woman,59%(M) -- 65%(I)
the-howling,63%(M) -- 62%(I)
1492-conquest-of-paradise,53%(M) -- 43%(I)
the-fly,45%(M) -- 50%(I)
the-fire-within,64%(M) -- 65%(I)
fearless,59%(M) -- 60%(I)
earth-1930,56%(M) -- 54%(I)
drunken-master,61%(M) -- 66%(I)
a-dogs-life,63%(M) -- 62%(I)
diary-of-a-lost-girl,59%(M) -- 59%(I)
darling,57%(M) -- 67%(I)
the-old-dark-house,54%(M) -- 57%(I)
the-curse-of-the-cat-people,60%(M) -- 62%(I)
the-curse-of-frankenstein,52%(M) -- 61%(I)
the-crying-game,52%(M) -- 45%(I)
the-clowns,54%(M) -- 56%(I)
cleopatra-jones,46%(M) -- 50%(I)
charulata,69%(M) -- 71%(I)
fellinis-casanova,55%(M) -- 56%(I)
blue-steel-1990,44%(M) -- 32%(I)
black-god-white-devil,62%(M) -- 59%(I)
bitter-rice,66%(M) -- 75%(I)
belle-epoque,61%(M) -- 65%(I)
beaches,61%(M) -- 59%(I)
animal-farm,59%(M) -- 60%(I)
the-accused-1988,59%(M) -- 56%(I)
the-abyss,54%(M) -- 50%(I)
death-race-2000,62%(M) -- 61%(I)
thirst-street,42%(M) -- 55%(I)
tom-of-finland,42%(M) -- 49%(I)
dawson-city-frozen-time,50%(M) -- 56%(I)
its-a-mad-mad-mad-mad-world,48%(M) -- 46%(I)
ulysse,58%(M) -- 62%(I)
the-so-called-caryatids,58%(M) -- 67%(I)
boy-meets-girl,64%(M) -- 77%(I)
lemon-2017,38%(M) -- 44%(I)
junebug,62%(M) -- 61%(I)
valley-of-the-dolls,43%(M) -- 39%(I)
the-woman-who-powders-herself,57%(M) -- 68%(I)
the-night-porter,65%(M) -- 71%(I)
half-baked,53%(M) -- 54%(I)
cassis,55%(M) -- 55%(I)
the-brown-bunny,39%(M) -- 43%(I)
the-emperor-and-the-assassin,33%(M) -- 27%(I)
the-big-red-one,50%(M) -- 50%(I)
a-man-and-a-woman,64%(M) -- 81%(I)
visitor-q,48%(M) -- 53%(I)
colorful,37%(M) -- 32%(I)
vampire-hunter-d,46%(M) -- 51%(I)
interstella-5555-the-5tory-of-the-5ecret-5tar-5ystem,59%(M) -- 65%(I)
day-of-the-woman,55%(M) -- 46%(I)
papillon,50%(M) -- 43%(I)
demons,38%(M) -- 34%(I)
caligula,33%(M) -- 32%(I)
trick-r-treat,30%(M) -- 29%(I)
dragonslayer,45%(M) -- 47%(I)
texas-chainsaw-massacre-the-next-generation,45%(M) -- 50%(I)
clockers,58%(M) -- 53%(I)
the-plague-dogs,60%(M) -- 61%(I)
little-sister-2016,54%(M) -- 55%(I)
the-fog-of-war,63%(M) -- 61%(I)
welcome-to-me,41%(M) -- 59%(I)
the-pagemaster,57%(M) -- 60%(I)
the-king-of-kong-a-fistful-of-quarters,62%(M) -- 65%(I)
the-devil-and-daniel-johnston,58%(M) -- 56%(I)
the-uninvited,56%(M) -- 60%(I)
salems-lot,62%(M) -- 61%(I)
thunder-road-2016,62%(M) -- 69%(I)
police-story,57%(M) -- 44%(I)
a-better-tomorrow-ii,41%(M) -- 47%(I)
10-65-self-mutilation,60%(M) -- 62%(I)
film:130820,48%(M) -- 56%(I)
spacy,62%(M) -- 59%(I)
walker-2012,58%(M) -- 58%(I)
creepy,58%(M) -- 62%(I)
city-of-the-living-dead,38%(M) -- 36%(I)
the-happiest-day-in-the-life-of-olli-maki,60%(M) -- 59%(I)
escape-from-the-planet-of-the-apes,40%(M) -- 47%(I)
closet-monster,45%(M) -- 57%(I)
crimson-gold,53%(M) -- 57%(I)
ten-2002,48%(M) -- 37%(I)
junkopia,50%(M) -- 66%(I)
the-naked-island,59%(M) -- 62%(I)
meet-the-patels,59%(M) -- 63%(I)
premonitions-following-an-evil-deed,51%(M) -- 50%(I)
creature-from-the-black-lagoon,61%(M) -- 60%(I)
neo-tokyo,57%(M) -- 57%(I)
sorcerer,66%(M) -- 73%(I)
tales-of-the-night,38%(M) -- 47%(I)
the-salvation,46%(M) -- 42%(I)
jane-b-by-agnes-v,60%(M) -- 62%(I)
swimmer,58%(M) -- 59%(I)
mobilize-2015,60%(M) -- 66%(I)
shirin,56%(M) -- 59%(I)
tabu-1931,63%(M) -- 71%(I)
meru,59%(M) -- 61%(I)
singles,45%(M) -- 41%(I)
offside,59%(M) -- 71%(I)
the-mirror,54%(M) -- 56%(I)
top-secret,52%(M) -- 52%(I)
albatross,29%(M) -- 35%(I)
the-seduction-of-mimi,63%(M) -- 68%(I)
arabian-nights-volume-2-the-desolate-one,62%(M) -- 60%(I)
much-ado-about-nothing,38%(M) -- 39%(I)
henry-v,60%(M) -- 48%(I)
legend,47%(M) -- 57%(I)
meet-the-feebles,48%(M) -- 56%(I)
witchs-cradle,64%(M) -- 71%(I)
the-private-life-of-a-cat,60%(M) -- 68%(I)
murderball,42%(M) -- 36%(I)
the-day-the-earth-stood-still,52%(M) -- 45%(I)
super-fly,49%(M) -- 61%(I)
the-wonder-ring,58%(M) -- 53%(I)
window-water-baby-moving,67%(M) -- 67%(I)
putney-swope,45%(M) -- 53%(I)
neon-bull,56%(M) -- 59%(I)
swept-away,63%(M) -- 65%(I)
love-and-anarchy,62%(M) -- 63%(I)
the-dancing-pig,42%(M) -- 35%(I)
the-saragossa-manuscript,58%(M) -- 60%(I)
world-of-glory,58%(M) -- 58%(I)
raising-cain,44%(M) -- 57%(I)
carlitos-way,58%(M) -- 54%(I)
phantom-of-the-paradise,55%(M) -- 71%(I)
purple-rain,38%(M) -- 34%(I)
my-bloody-valentine,46%(M) -- 50%(I)
twilight-zone-the-movie,35%(M) -- 44%(I)
heavy-metal,55%(M) -- 54%(I)
a-very-long-engagement,50%(M) -- 44%(I)
a-letter-to-uncle-boonmee,59%(M) -- 65%(I)
die-nibelungen-siegfried,69%(M) -- 76%(I)
iris-2014,56%(M) -- 57%(I)
get-on-up,35%(M) -- 44%(I)
the-keeping-room,50%(M) -- 49%(I)
the-wonders-2014,63%(M) -- 72%(I)
street-of-shame,65%(M) -- 66%(I)
prince-of-darkness,56%(M) -- 64%(I)
starman,63%(M) -- 66%(I)
night-tide,53%(M) -- 54%(I)
rosewater,37%(M) -- 43%(I)
even-cowgirls-get-the-blues,49%(M) -- 56%(I)
the-lord-of-the-rings,37%(M) -- 45%(I)
history-of-the-world-part-i,46%(M) -- 47%(I)
the-thing-2011,18%(M) -- 22%(I)
106270,49%(M) -- 50%(I)
empire-records,56%(M) -- 49%(I)
capitalism-a-love-story,33%(M) -- 36%(I)
shaft,56%(M) -- 48%(I)
blacula,42%(M) -- 36%(I)
patema-inverted,55%(M) -- 52%(I)
pistol-opera,57%(M) -- 56%(I)
kids-return,57%(M) -- 56%(I)
gate-of-flesh,65%(M) -- 66%(I)
jubilee,57%(M) -- 54%(I)
letter-never-sent,69%(M) -- 67%(I)
quadrophenia,55%(M) -- 56%(I)
godzilla-king-of-the-monsters,43%(M) -- 50%(I)
kuroneko,64%(M) -- 69%(I)
pale-flower,61%(M) -- 63%(I)
the-friends-of-eddie-coyle,62%(M) -- 63%(I)
symbiopsychotaxiplasm-take-one,59%(M) -- 63%(I)
jigoku,57%(M) -- 61%(I)
suzannes-career,62%(M) -- 71%(I)
divorce-italian-style,68%(M) -- 75%(I)
i-am-curious-yellow,57%(M) -- 61%(I)
billy-liar,56%(M) -- 62%(I)
gimme-shelter-1970,61%(M) -- 65%(I)
the-harder-they-come,46%(M) -- 56%(I)
testament-of-orpheus,62%(M) -- 62%(I)
a-letter-to-momo,56%(M) -- 51%(I)
patlabor-the-movie,59%(M) -- 57%(I)
jin-roh-the-wolf-brigade,49%(M) -- 44%(I)
seven-up,60%(M) -- 57%(I)
7-plus-seven,57%(M) -- 57%(I)
21-up,57%(M) -- 57%(I)
28-up,61%(M) -- 58%(I)
35-up,59%(M) -- 58%(I)
42-up,61%(M) -- 59%(I)
49-up,59%(M) -- 58%(I)
franz-kafkas-a-country-doctor,51%(M) -- 54%(I)
corpo-celeste,59%(M) -- 65%(I)
the-last-of-england,63%(M) -- 63%(I)
sunday-bloody-sunday,61%(M) -- 62%(I)
flcl,53%(M) -- 55%(I)
9-2005,44%(M) -- 50%(I)
tekkonkinkreet,68%(M) -- 66%(I)
the-day-he-arrives,57%(M) -- 65%(I)
marley,55%(M) -- 54%(I)
where-do-we-go-now,59%(M) -- 52%(I)
farewell-my-queen,46%(M) -- 36%(I)
the-ballad-of-narayama,59%(M) -- 60%(I)
elena,69%(M) -- 74%(I)
a-cat-in-paris,42%(M) -- 36%(I)
ai-weiwei-never-sorry,58%(M) -- 59%(I)
the-queen-of-versailles,49%(M) -- 55%(I)
woman-on-the-beach,56%(M) -- 64%(I)
green-street-hooligans,41%(M) -- 41%(I)
the-sun,58%(M) -- 57%(I)
a-simple-life,61%(M) -- 62%(I)
family-guy-presents-its-a-trap,33%(M) -- 47%(I)
the-muppet-movie,56%(M) -- 45%(I)
see-no-evil-hear-no-evil,43%(M) -- 38%(I)
lucifer-rising,66%(M) -- 67%(I)
the-inauguration-of-the-pleasure-dome,60%(M) -- 66%(I)
beyond-the-valley-of-the-dolls,53%(M) -- 53%(I)
pepe-le-moko,57%(M) -- 65%(I)
people-on-sunday,60%(M) -- 66%(I)
excalibur,50%(M) -- 58%(I)
kwaidan,74%(M) -- 78%(I)
exotica,63%(M) -- 73%(I)
yellow-submarine,55%(M) -- 58%(I)
dodeska-den,56%(M) -- 52%(I)
the-thing-from-another-world,46%(M) -- 53%(I)
food,58%(M) -- 61%(I)
the-great-escape,58%(M) -- 62%(I)
the-adventures-of-robin-hood,60%(M) -- 71%(I)
crumb,61%(M) -- 61%(I)
santa-sangre,63%(M) -- 69%(I)
faster-pussycat-kill-kill,53%(M) -- 60%(I)
port-of-shadows,57%(M) -- 62%(I)
les-vampires,62%(M) -- 49%(I)
red-sorghum,58%(M) -- 47%(I)
the-manchurian-candidate,61%(M) -- 46%(I)
faust-1926,71%(M) -- 68%(I)
fellini-satyricon,58%(M) -- 64%(I)
the-flavor-of-green-tea-over-rice,62%(M) -- 65%(I)
early-spring,61%(M) -- 62%(I)
tokyo-twilight,63%(M) -- 64%(I)
floating-weeds,69%(M) -- 71%(I)
kagemusha,65%(M) -- 57%(I)
the-bride-of-frankenstein,68%(M) -- 71%(I)
ivan-the-terrible-part-ii-the-boyars-plot,69%(M) -- 70%(I)
performance,60%(M) -- 69%(I)
nanook-of-the-north,69%(M) -- 71%(I)
the-river,63%(M) -- 73%(I)
hawks-and-sparrows,61%(M) -- 63%(I)
the-lunchbox,68%(M) -- 61%(I)
mister-lonely,62%(M) -- 73%(I)
the-german-doctor,53%(M) -- 49%(I)
on-the-road,29%(M) -- 34%(I)
the-beautiful-person,55%(M) -- 52%(I)
the-boss-of-it-all,42%(M) -- 54%(I)
the-element-of-crime,40%(M) -- 53%(I)
laggies,30%(M) -- 38%(I)
a-prairie-home-companion,64%(M) -- 57%(I)
mccabe-mrs-miller,73%(M) -- 83%(I)
flirting,49%(M) -- 47%(I)
jungle-fever,56%(M) -- 57%(I)
chaplin,58%(M) -- 54%(I)
2-days-in-new-york,41%(M) -- 50%(I)
trouble-every-day,56%(M) -- 77%(I)
goodbye-first-love,49%(M) -- 60%(I)
nowhere,45%(M) -- 47%(I)
tenacious-d-in-the-pick-of-destiny,51%(M) -- 51%(I)
outrage-2010,55%(M) -- 55%(I)
nenette-and-boni,58%(M) -- 64%(I)
broken-blossoms-1919,58%(M) -- 60%(I)
hanna,37%(M) -- 35%(I)
naked-childhood,62%(M) -- 78%(I)
cyrus,53%(M) -- 53%(I)
wavelength-1967,66%(M) -- 70%(I)
russian-dolls,54%(M) -- 57%(I)
brand-upon-the-brain,61%(M) -- 62%(I)
alan-partridge-alpha-papa,59%(M) -- 57%(I)
crash,54%(M) -- 68%(I)
new-rose-hotel,58%(M) -- 60%(I)
body-snatchers,52%(M) -- 53%(I)
little-odessa,58%(M) -- 48%(I)
stray-dog,59%(M) -- 54%(I)
no-regrets-for-our-youth,41%(M) -- 36%(I)
sanshiro-sugata,37%(M) -- 36%(I)
rhapsody-in-august,59%(M) -- 47%(I)
sanshiro-sugata-part-two,37%(M) -- 36%(I)
pauline-at-the-beach,65%(M) -- 71%(I)
on-your-mark,58%(M) -- 54%(I)
vengeance-is-mine,59%(M) -- 65%(I)
double-suicide,57%(M) -- 58%(I)
innocence,65%(M) -- 71%(I)
everyone-else,60%(M) -- 70%(I)
whos-that-knocking-at-my-door,49%(M) -- 56%(I)
acod,34%(M) -- 42%(I)
the-art-of-the-steal,48%(M) -- 53%(I)
basquiat,58%(M) -- 66%(I)
almost-heroes,41%(M) -- 37%(I)
for-your-consideration,46%(M) -- 53%(I)
flirt,46%(M) -- 56%(I)
an-owl-is-an-owl-is-an-owl,57%(M) -- 68%(I)
cat-listening-to-music,55%(M) -- 66%(I)
a-grin-without-a-cat,59%(M) -- 68%(I)
she-and-her-cat,46%(M) -- 53%(I)
the-last-unicorn,52%(M) -- 44%(I)
fata-morgana,49%(M) -- 52%(I)
cobra-verde,60%(M) -- 67%(I)
little-dieter-needs-to-fly,63%(M) -- 64%(I)
woyzeck,58%(M) -- 60%(I)
the-enigma-of-kaspar-hauser,61%(M) -- 63%(I)
into-the-abyss,70%(M) -- 78%(I)
film-socialisme,36%(M) -- 46%(I)
histoires-du-cinema,58%(M) -- 57%(I)
tout-va-bien,54%(M) -- 57%(I)
numero-deux,53%(M) -- 65%(I)
the-joy-of-learning,45%(M) -- 55%(I)
les-carabiniers,57%(M) -- 58%(I)
the-making-of-fanny-and-alexander,59%(M) -- 58%(I)
the-magic-flute,45%(M) -- 56%(I)
summer-interlude,65%(M) -- 74%(I)
career-girls,66%(M) -- 72%(I)
life-during-wartime,55%(M) -- 63%(I)
topsy-turvy,67%(M) -- 63%(I)
there-was-a-father,61%(M) -- 62%(I)
the-only-son,65%(M) -- 65%(I)
white-material,66%(M) -- 76%(I)
archangel-1990,46%(M) -- 53%(I)
my-winnipeg,72%(M) -- 84%(I)
the-cove,58%(M) -- 57%(I)
the-forest-for-the-trees,49%(M) -- 57%(I)
intolerance-loves-struggle-throughout-the-ages,56%(M) -- 62%(I)
dr-mabuse-the-gambler,64%(M) -- 68%(I)
for-all-mankind,60%(M) -- 62%(I)
the-place-promised-in-our-early-days,47%(M) -- 49%(I)
blow-up-my-town,44%(M) -- 53%(I)
news-from-home,69%(M) -- 72%(I)
the-testament-of-dr-mabuse,60%(M) -- 66%(I)
wings-1966,61%(M) -- 71%(I)
variety-lights,59%(M) -- 58%(I)
save-the-date,46%(M) -- 50%(I)
beyond-the-black-rainbow,58%(M) -- 68%(I)
in-another-country,56%(M) -- 68%(I)
zero-motivation,55%(M) -- 56%(I)
pusher-ii-with-blood-on-my-hands,57%(M) -- 66%(I)
seconds,64%(M) -- 62%(I)
west-of-memphis,55%(M) -- 59%(I)
marketa-lazarova,65%(M) -- 66%(I)
pusher-iii,60%(M) -- 66%(I)
the-loneliest-planet,44%(M) -- 46%(I)
i-wish,76%(M) -- 68%(I)
my-summer-of-love,46%(M) -- 51%(I)
south-1999,58%(M) -- 51%(I)
cabiria,65%(M) -- 62%(I)
berberian-sound-studio,46%(M) -- 51%(I)
the-punk-singer,44%(M) -- 52%(I)
something-in-the-air,53%(M) -- 54%(I)
cutie-and-the-boxer,57%(M) -- 61%(I)
le-week-end,45%(M) -- 49%(I)
maidentrip,53%(M) -- 43%(I)
a-band-called-death,40%(M) -- 54%(I)
waiting-for-guffman,58%(M) -- 57%(I)
amour-fou,48%(M) -- 54%(I)
20000-days-on-earth,52%(M) -- 55%(I)
tracks-2013,59%(M) -- 45%(I)
happy-christmas,31%(M) -- 40%(I)
they-came-together,43%(M) -- 53%(I)
youre-sleeping-nicole,60%(M) -- 64%(I)
blind-2014,48%(M) -- 57%(I)
red-army,42%(M) -- 36%(I)
journey-to-the-west-2014,65%(M) -- 63%(I)
lost-in-the-mountains,56%(M) -- 64%(I)
hill-of-freedom,58%(M) -- 62%(I)
swan-song-2021-1,36%(M) -- 43%(I)
moving-on-2019,59%(M) -- 62%(I)
manila-in-the-claws-of-light,59%(M) -- 51%(I)
lucky-chan-sil,54%(M) -- 47%(I)
perfumed-nightmare,57%(M) -- 47%(I)
jeannette-the-childhood-of-joan-of-arc,57%(M) -- 57%(I)
dwelling-in-the-fuchun-mountains,58%(M) -- 62%(I)
atlantiques,43%(M) -- 44%(I)
the-world-of-us,56%(M) -- 57%(I)
37-seconds,56%(M) -- 43%(I)
a-place-further-than-the-universe,55%(M) -- 45%(I)
pity-2018,48%(M) -- 50%(I)
unrelated,59%(M) -- 60%(I)
losing-ground,61%(M) -- 61%(I)
yentl,55%(M) -- 53%(I)
trash-2014,34%(M) -- 27%(I)
bad-poems,42%(M) -- 44%(I)
i-dream-in-another-language,61%(M) -- 49%(I)
disclosure-2020-1,68%(M) -- 69%(I)
white-snake-2019,37%(M) -- 37%(I)
elisa-marcela,38%(M) -- 36%(I)
a-teacher,48%(M) -- 39%(I)
i-am-cuba,66%(M) -- 68%(I)
big-fish-begonia,43%(M) -- 34%(I)
so-long-my-son,62%(M) -- 65%(I)
blackpink-light-up-the-sky,57%(M) -- 45%(I)
the-pearl-button,62%(M) -- 55%(I)
the-many-adventures-of-winnie-the-pooh,55%(M) -- 47%(I)
a-christmas-tale,58%(M) -- 50%(I)
love-songs,60%(M) -- 59%(I)
just-dont-think-ill-scream,62%(M) -- 59%(I)
city-of-ember,38%(M) -- 31%(I)
leaving-neverland,56%(M) -- 76%(I)
shotgun-stories,61%(M) -- 50%(I)
damnation,66%(M) -- 73%(I)
game-of-thrones-conquest-rebellion-an-animated-history-of-the-seven-kingdoms,48%(M) -- 39%(I)
rouge,53%(M) -- 46%(I)
tokyo-sonata,57%(M) -- 65%(I)
perro-bomba,53%(M) -- 49%(I)
ms-slavic-7,38%(M) -- 40%(I)
the-good-the-bad-the-weird,52%(M) -- 48%(I)
