the-devils-backbone,48%(M) -- 51%(I)
american-psycho,70%(M) -- 74%(I)
memento,89%(M) -- 91%(I)
yi-yi,83%(M) -- 91%(I)
127-hours,41%(M) -- 49%(I)
steve-jobs,58%(M) -- 70%(I)
trainspotting,87%(M) -- 88%(I)
slumdog-millionaire,75%(M) -- 71%(I)
28-days-later,46%(M) -- 56%(I)
sunshine-2007,55%(M) -- 53%(I)
rogue-one-a-star-wars-story,53%(M) -- 50%(I)
doctor-strange-2016,28%(M) -- 28%(I)
deadpool,46%(M) -- 41%(I)
hacksaw-ridge,44%(M) -- 32%(I)
zootopia,81%(M) -- 48%(I)
captain-america-civil-war,36%(M) -- 27%(I)
kubo-and-the-two-strings,60%(M) -- 42%(I)
sing-street,57%(M) -- 60%(I)
jackie-2016,69%(M) -- 64%(I)
loving-vincent,69%(M) -- 69%(I)
the-disaster-artist,60%(M) -- 78%(I)
it-comes-at-night,53%(M) -- 67%(I)
it-2017,56%(M) -- 53%(I)
thor-ragnarok,45%(M) -- 47%(I)
the-lego-batman-movie,54%(M) -- 48%(I)
spider-man-homecoming,41%(M) -- 35%(I)
t2-trainspotting,52%(M) -- 57%(I)
dunkirk-2017,81%(M) -- 75%(I)
phantom-thread,85%(M) -- 84%(I)
logan-2017,78%(M) -- 69%(I)
captain-marvel,22%(M) -- 21%(I)
a-fantastic-woman,72%(M) -- 79%(I)
pacific-rim,33%(M) -- 32%(I)
pans-labyrinth,91%(M) -- 82%(I)
the-lord-of-the-rings-the-return-of-the-king,86%(M) -- 83%(I)
the-lord-of-the-rings-the-two-towers,88%(M) -- 84%(I)
the-lord-of-the-rings-the-fellowship-of-the-ring,91%(M) -- 82%(I)
9,47%(M) -- 36%(I)
the-thing,80%(M) -- 82%(I)
coraline,81%(M) -- 70%(I)
a-bigger-splash-2015,57%(M) -- 62%(I)
eyes-wide-shut,90%(M) -- 87%(I)
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,87%(M) -- 86%(I)
a-clockwork-orange,90%(M) -- 96%(I)
the-shining,94%(M) -- 96%(I)
barry-lyndon,79%(M) -- 87%(I)
okja,67%(M) -- 77%(I)
once-upon-a-time-in-hollywood,87%(M) -- 95%(I)
black-swan,89%(M) -- 81%(I)
lost-in-translation,86%(M) -- 91%(I)
stay,45%(M) -- 34%(I)
song-to-song,51%(M) -- 62%(I)
only-god-forgives,39%(M) -- 64%(I)
the-place-beyond-the-pines,63%(M) -- 67%(I)
blue-valentine,62%(M) -- 83%(I)
pierrot-le-fou,84%(M) -- 88%(I)
zodiac,92%(M) -- 79%(I)
gone-girl,92%(M) -- 81%(I)
the-road,50%(M) -- 36%(I)
sicario-2015,63%(M) -- 59%(I)
requiem-for-a-dream,81%(M) -- 88%(I)
no-country-for-old-men,76%(M) -- 85%(I)
harry-potter-and-the-deathly-hallows-part-2,69%(M) -- 54%(I)
harry-potter-and-the-deathly-hallows-part-1,68%(M) -- 45%(I)
harry-potter-and-the-half-blood-prince,46%(M) -- 41%(I)
harry-potter-and-the-order-of-the-phoenix,46%(M) -- 35%(I)
harry-potter-and-the-goblet-of-fire,69%(M) -- 46%(I)
harry-potter-and-the-prisoner-of-azkaban,87%(M) -- 69%(I)
harry-potter-and-the-chamber-of-secrets,59%(M) -- 35%(I)
harry-potter-and-the-philosophers-stone,74%(M) -- 45%(I)
black-orpheus,66%(M) -- 64%(I)
we-need-to-talk-about-kevin,74%(M) -- 89%(I)
the-babadook,68%(M) -- 82%(I)
lady-bird,88%(M) -- 91%(I)
in-bruges,81%(M) -- 84%(I)
seven-psychopaths,59%(M) -- 69%(I)
three-billboards-outside-ebbing-missouri,82%(M) -- 82%(I)
eyes-without-a-face,72%(M) -- 85%(I)
i-saw-the-devil,65%(M) -- 58%(I)
the-juniper-tree,61%(M) -- 75%(I)
the-double-life-of-veronique,83%(M) -- 91%(I)
shin-godzilla,48%(M) -- 59%(I)
dancer-in-the-dark,58%(M) -- 77%(I)
in-the-mood-for-love,89%(M) -- 92%(I)
biutiful,63%(M) -- 62%(I)
babel-2006,63%(M) -- 58%(I)
the-revenant-2015,80%(M) -- 61%(I)
amores-perros,72%(M) -- 77%(I)
birdman-or-the-unexpected-virtue-of-ignorance,90%(M) -- 75%(I)
memories-of-murder,80%(M) -- 71%(I)
the-nice-guys,64%(M) -- 57%(I)
thx-1138,46%(M) -- 61%(I)
the-neon-demon,57%(M) -- 70%(I)
rushmore,67%(M) -- 78%(I)
the-grand-budapest-hotel,89%(M) -- 77%(I)
annihilation,82%(M) -- 78%(I)
roma-2018,89%(M) -- 94%(I)
avengers-infinity-war,49%(M) -- 41%(I)
the-favourite,92%(M) -- 92%(I)
el-camino-a-breaking-bad-movie,38%(M) -- 37%(I)
spider-man-far-from-home,40%(M) -- 35%(I)
1917,70%(M) -- 73%(I)
toy-story-4,79%(M) -- 64%(I)
avengers-endgame,51%(M) -- 40%(I)
little-women-2019,89%(M) -- 87%(I)
the-irishman-2019,91%(M) -- 82%(I)
bronson,53%(M) -- 54%(I)
the-tree-of-life-2011,90%(M) -- 90%(I)
raw-2016,60%(M) -- 65%(I)
green-room,37%(M) -- 66%(I)
interstellar,90%(M) -- 76%(I)
enemy,79%(M) -- 79%(I)
inside-llewyn-davis,82%(M) -- 85%(I)
the-master-2012,91%(M) -- 88%(I)
the-handmaiden,83%(M) -- 84%(I)
room-2015,79%(M) -- 69%(I)
there-will-be-blood,88%(M) -- 83%(I)
gloria-2013,43%(M) -- 44%(I)
isle-of-dogs-2018,78%(M) -- 76%(I)
call-me-by-your-name,77%(M) -- 95%(I)
nightcrawler,90%(M) -- 85%(I)
swiss-army-man,60%(M) -- 65%(I)
eternal-sunshine-of-the-spotless-mind,87%(M) -- 93%(I)
arrival-2016,95%(M) -- 85%(I)
shame-2011,84%(M) -- 82%(I)
the-shape-of-water,79%(M) -- 74%(I)
let-the-right-one-in,79%(M) -- 83%(I)
your-name,84%(M) -- 71%(I)
